Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
Oak Street,Ella Tote,Green,Canvas,Small,Da Nang,47,18,65,Spring,76,91,3,-88
Rodeo Drive,Gemini Link Tote,White,Jacquard,Mini,Hanoi,45,18,63,Spring,192,230,125,-105
Pacific Centre,Ella Tote,Red,Leather,Large,Ho Chi Minh City,48,17,65,Spring,287,344,40,-304
Bal Harbour Shops,Robinson Tote,Pink,Pebbled Leather,Large,Da Nang,47,18,65,Summer,242,242,7,-235
NorthPark Center,Ella Tote,Red,Pebbled Leather,Mini,Da Nang,40,16,56,Spring,132,158,179,21
South Coast Plaza,Kira Chevron Tote,Pink,Canvas,Small,Da Nang,44,17,61,Fall,54,59,60,1
Pacific Centre,Ella Tote,Multi,Jacquard,Medium,Ho Chi Minh City,37,15,52,Fall,82,90,114,24
Bal Harbour Shops,T Monogram Tote,Red,Canvas,Small,Da Nang,40,18,58,Fall,131,144,133,-11
El Palacio de Hierro (Santa Fe),T Monogram Tote,Black,Coated Canvas,Small,Ho Chi Minh City,36,18,54,Fall,81,89,6,-83
South Coast Plaza,Gemini Link Tote,Metallic,Leather,Mini,Guangzhou,33,17,50,Summer,154,154,45,-109
Madison Avenue,T Monogram Tote,Red,Leather,Small,Shenzhen,45,18,63,Fall,107,117,148,31
NorthPark Center,T Monogram Tote,White,Jacquard,Large,Da Nang,47,18,65,Summer,246,246,122,-124
Soho,Gemini Link Tote,Black,Canvas,Large,Hanoi,45,16,61,Summer,286,286,119,-167
El Palacio de Hierro (Santa Fe),Perry Tote,Brown,Coated Canvas,Mini,Guangzhou,32,17,49,Fall,89,97,19,-78
Soho,McGraw Tote,Metallic,Jacquard,Small,Da Nang,46,15,61,Fall,118,129,19,-110
Bal Harbour Shops,Britten Tote,Red,Coated Canvas,Large,Da Nang,32,14,46,Fall,256,281,105,-176
El Palacio de Hierro (Santa Fe),T Monogram Tote,Red,Leather,Small,Da Nang,44,17,61,Summer,297,297,5,-292
El Palacio de Hierro (Polanco),Perry Tote,Pink,Jacquard,Small,Guangzhou,36,14,50,Winter,98,78,66,-12
NorthPark Center,Perry Tote,Blue,Canvas,Small,Hanoi,34,14,48,Winter,137,109,24,-85
San Francisco Centre,Britten Tote,Purple,Coated Canvas,Mini,Guangzhou,34,17,51,Spring,125,150,125,-25
San Francisco Centre,Perry Tote,White,Pebbled Leather,Mini,Guangzhou,41,16,57,Summer,80,80,62,-18
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,White,Pebbled Leather,Large,Shenzhen,48,14,62,Summer,294,294,11,-283
Yorkdale Shopping Centre,Perry Tote,Purple,Coated Canvas,Mini,Hanoi,32,16,48,Spring,252,302,242,-60
Aventura Mall,Gemini Link Tote,Beige,Jacquard,Mini,Shenzhen,38,16,54,Fall,157,172,172,0
Soho,Perry Tote,Brown,Pebbled Leather,Small,Ho Chi Minh City,33,16,49,Winter,166,132,130,-2
El Palacio de Hierro (Santa Fe),Britten Tote,Purple,Leather,Large,Shenzhen,42,15,57,Spring,110,132,150,18
NorthPark Center,Gemini Link Tote,Gray,Canvas,Medium,Hanoi,38,15,53,Fall,187,205,159,-46
Pacific Centre,Perry Tote,Purple,Leather,Mini,Shenzhen,33,14,47,Summer,280,280,103,-177
Rodeo Drive,Perry Tote,Pink,Pebbled Leather,Large,Guangzhou,36,15,51,Summer,161,161,79,-82
San Francisco Centre,Perry Tote,Pink,Canvas,Mini,Guangzhou,49,15,64,Fall,51,56,60,4
Bal Harbour Shops,T Monogram Tote,Yellow,Coated Canvas,Large,Shenzhen,40,17,57,Fall,81,89,62,-27
Madison Avenue,McGraw Tote,Brown,Leather,Medium,Shenzhen,37,18,55,Fall,163,179,42,-137
The Galleria,McGraw Tote,Brown,Coated Canvas,Small,Ho Chi Minh City,38,17,55,Fall,247,271,126,-145
Rodeo Drive,Robinson Tote,White,Pebbled Leather,Medium,Shenzhen,42,18,60,Fall,52,57,86,29
Bal Harbour Shops,Robinson Tote,Beige,Pebbled Leather,Small,Da Nang,31,18,49,Summer,263,263,90,-173
Oak Street,Ella Tote,Pink,Pebbled Leather,Large,Ho Chi Minh City,42,18,60,Fall,283,311,167,-144
El Palacio de Hierro (Polanco),Robinson Tote,Yellow,Coated Canvas,Mini,Ho Chi Minh City,44,15,59,Spring,269,322,238,-84
Aventura Mall,Ella Tote,Purple,Leather,Small,Da Nang,39,18,57,Spring,230,276,287,11
Soho,Perry Tote,Brown,Jacquard,Mini,Shenzhen,31,15,46,Spring,95,114,100,-14
The Galleria,Britten Tote,Yellow,Canvas,Medium,Hanoi,40,15,55,Fall,195,214,134,-80
Westfield World Trade Center,Ella Tote,Metallic,Jacquard,Medium,Ho Chi Minh City,48,16,64,Fall,189,207,31,-176
Madison Avenue,Robinson Tote,Metallic,Coated Canvas,Large,Hanoi,30,18,48,Winter,243,194,81,-113
NorthPark Center,Robinson Tote,Pink,Coated Canvas,Medium,Ho Chi Minh City,40,17,57,Winter,186,148,136,-12
Aventura Mall,Robinson Tote,Purple,Pebbled Leather,Medium,Da Nang,46,17,63,Spring,92,110,112,2
Soho,Kira Chevron Tote,Metallic,Coated Canvas,Small,Guangzhou,42,15,57,Spring,135,162,40,-122
Madison Avenue,T Monogram Tote,Red,Pebbled Leather,Medium,Shenzhen,46,15,61,Spring,135,162,54,-108
Soho,Ella Tote,Red,Jacquard,Small,Da Nang,32,17,49,Summer,242,242,277,35
Pacific Centre,Robinson Tote,Pink,Coated Canvas,Large,Ho Chi Minh City,44,18,62,Fall,145,159,33,-126
Aventura Mall,Britten Tote,Pink,Leather,Large,Hanoi,47,16,63,Spring,86,103,36,-67
Oak Street,Robinson Tote,White,Coated Canvas,Mini,Guangzhou,45,16,61,Fall,223,245,94,-151
Madison Avenue,Robinson Tote,White,Canvas,Medium,Da Nang,47,16,63,Summer,207,207,113,-94
Aventura Mall,McGraw Tote,Multi,Canvas,Large,Da Nang,37,15,52,Winter,149,119,3,-116
Rodeo Drive,Gemini Link Tote,Green,Jacquard,Medium,Hanoi,47,16,63,Spring,263,315,6,-309
Madison Avenue,Britten Tote,Gray,Pebbled Leather,Small,Ho Chi Minh City,48,15,63,Winter,189,151,25,-126
South Coast Plaza,T Monogram Tote,Red,Leather,Small,Guangzhou,45,15,60,Fall,220,242,215,-27
Oak Street,Perry Tote,Blue,Coated Canvas,Mini,Guangzhou,45,14,59,Spring,282,338,214,-124
El Palacio de Hierro (Polanco),Robinson Tote,Gray,Canvas,Large,Ho Chi Minh City,40,17,57,Summer,73,73,5,-68
Pacific Centre,Robinson Tote,Pink,Pebbled Leather,Small,Guangzhou,30,18,48,Summer,285,285,239,-46
Madison Avenue,Robinson Tote,Metallic,Pebbled Leather,Medium,Hanoi,43,18,61,Winter,123,98,134,36
Westfield World Trade Center,McGraw Tote,Purple,Coated Canvas,Medium,Hanoi,49,16,65,Summer,197,197,115,-82
Pacific Centre,Perry Tote,Purple,Leather,Large,Hanoi,31,17,48,Fall,248,272,225,-47
San Francisco Centre,Gemini Link Tote,Purple,Pebbled Leather,Medium,Guangzhou,50,14,64,Summer,137,137,42,-95
Oak Street,McGraw Tote,Multi,Pebbled Leather,Small,Guangzhou,48,14,62,Fall,224,246,53,-193
Bal Harbour Shops,Britten Tote,Pink,Leather,Large,Hanoi,47,17,64,Winter,93,74,86,12
Yorkdale Shopping Centre,Gemini Link Tote,Yellow,Canvas,Large,Shenzhen,42,16,58,Summer,149,149,141,-8
Soho,Gemini Link Tote,Red,Leather,Large,Hanoi,48,14,62,Winter,74,59,18,-41
Bal Harbour Shops,T Monogram Tote,Yellow,Coated Canvas,Large,Hanoi,37,14,51,Summer,178,178,196,18
San Francisco Centre,Perry Tote,White,Leather,Medium,Guangzhou,40,17,57,Winter,189,151,150,-1
South Coast Plaza,McGraw Tote,Green,Canvas,Small,Da Nang,50,14,64,Winter,148,118,101,-17
Pacific Centre,McGraw Tote,Beige,Jacquard,Small,Guangzhou,50,14,64,Summer,240,240,287,47
The Galleria,Perry Tote,Blue,Coated Canvas,Medium,Guangzhou,31,14,45,Spring,257,308,65,-243
El Palacio de Hierro (Santa Fe),Britten Tote,Blue,Canvas,Small,Da Nang,31,18,49,Winter,224,179,140,-39
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Blue,Canvas,Small,Ho Chi Minh City,45,17,62,Fall,55,60,72,12
South Coast Plaza,McGraw Tote,Multi,Coated Canvas,Small,Guangzhou,30,17,47,Fall,133,146,129,-17
Bal Harbour Shops,Gemini Link Tote,Metallic,Leather,Medium,Hanoi,49,18,67,Spring,225,270,102,-168
NorthPark Center,Perry Tote,Red,Coated Canvas,Mini,Hanoi,37,16,53,Fall,133,146,171,25
The Galleria,Kira Chevron Tote,Green,Pebbled Leather,Small,Hanoi,48,16,64,Winter,250,200,47,-153
Yorkdale Shopping Centre,Gemini Link Tote,Green,Leather,Large,Da Nang,31,16,47,Spring,231,277,207,-70
South Coast Plaza,Robinson Tote,Red,Jacquard,Mini,Ho Chi Minh City,47,18,65,Winter,63,50,44,-6
Madison Avenue,Ella Tote,Green,Leather,Large,Ho Chi Minh City,44,15,59,Fall,112,123,100,-23
Westfield World Trade Center,Ella Tote,Gray,Jacquard,Mini,Guangzhou,44,17,61,Fall,116,127,69,-58
South Coast Plaza,Britten Tote,Purple,Coated Canvas,Medium,Hanoi,47,18,65,Fall,245,269,299,30
Rodeo Drive,T Monogram Tote,Pink,Canvas,Medium,Da Nang,42,14,56,Summer,134,134,3,-131
El Palacio de Hierro (Polanco),Britten Tote,Multi,Leather,Mini,Da Nang,33,17,50,Summer,171,171,174,3
Rodeo Drive,Perry Tote,Yellow,Pebbled Leather,Small,Ho Chi Minh City,36,18,54,Summer,273,273,51,-222
Westfield World Trade Center,McGraw Tote,Beige,Leather,Small,Guangzhou,38,14,52,Winter,99,79,26,-53
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Red,Coated Canvas,Small,Shenzhen,37,17,54,Fall,75,82,34,-48
Bal Harbour Shops,Robinson Tote,Black,Coated Canvas,Large,Shenzhen,44,18,62,Summer,251,251,88,-163
Bal Harbour Shops,Ella Tote,Red,Leather,Large,Guangzhou,50,15,65,Summer,283,283,137,-146
Aventura Mall,Kira Chevron Tote,Green,Jacquard,Small,Guangzhou,38,14,52,Spring,197,236,281,45
Rodeo Drive,T Monogram Tote,Gray,Canvas,Large,Guangzhou,39,18,57,Spring,63,75,38,-37
Aventura Mall,Britten Tote,Brown,Canvas,Large,Hanoi,39,18,57,Summer,250,250,238,-12
Madison Avenue,Ella Tote,Metallic,Jacquard,Mini,Ho Chi Minh City,30,17,47,Spring,287,344,131,-213
The Galleria,Ella Tote,Metallic,Canvas,Mini,Da Nang,31,16,47,Spring,124,148,70,-78
NorthPark Center,McGraw Tote,Blue,Jacquard,Small,Da Nang,32,17,49,Spring,75,90,97,7
Oak Street,Britten Tote,Multi,Canvas,Medium,Ho Chi Minh City,48,16,64,Winter,289,231,55,-176
Madison Avenue,Gemini Link Tote,Metallic,Leather,Mini,Ho Chi Minh City,47,16,63,Winter,296,236,145,-91
South Coast Plaza,Perry Tote,Yellow,Jacquard,Mini,Shenzhen,48,15,63,Fall,172,189,226,37
Rodeo Drive,McGraw Tote,Gray,Leather,Small,Guangzhou,30,16,46,Winter,277,221,270,49
Soho,Britten Tote,Green,Leather,Large,Guangzhou,30,15,45,Summer,245,245,87,-158
The Galleria,Kira Chevron Tote,Black,Canvas,Mini,Shenzhen,42,16,58,Fall,179,196,137,-59
Rodeo Drive,Kira Chevron Tote,Black,Canvas,Large,Hanoi,40,16,56,Fall,86,94,93,-1
Soho,Perry Tote,Green,Pebbled Leather,Small,Shenzhen,42,15,57,Winter,99,79,51,-28
Bal Harbour Shops,McGraw Tote,Purple,Canvas,Mini,Hanoi,36,16,52,Winter,183,146,75,-71
Madison Avenue,McGraw Tote,Blue,Canvas,Mini,Shenzhen,39,14,53,Fall,253,278,150,-128
Bal Harbour Shops,T Monogram Tote,Green,Leather,Mini,Guangzhou,38,15,53,Fall,113,124,95,-29
Pacific Centre,Perry Tote,Gray,Coated Canvas,Mini,Da Nang,39,17,56,Fall,259,284,113,-171
Soho,Robinson Tote,White,Jacquard,Mini,Guangzhou,50,14,64,Summer,150,150,178,28
Pacific Centre,Britten Tote,Black,Pebbled Leather,Small,Ho Chi Minh City,39,17,56,Winter,173,138,175,37
El Palacio de Hierro (Polanco),Britten Tote,Black,Coated Canvas,Large,Da Nang,39,18,57,Summer,170,170,118,-52
El Palacio de Hierro (Santa Fe),McGraw Tote,Red,Pebbled Leather,Small,Shenzhen,37,15,52,Spring,178,213,174,-39
The Galleria,Britten Tote,Pink,Leather,Large,Ho Chi Minh City,41,17,58,Fall,193,212,103,-109
El Palacio de Hierro (Polanco),Britten Tote,Multi,Canvas,Mini,Shenzhen,32,16,48,Winter,276,220,89,-131
NorthPark Center,Kira Chevron Tote,Red,Pebbled Leather,Small,Guangzhou,39,18,57,Spring,283,339,18,-321
Madison Avenue,Robinson Tote,Red,Leather,Mini,Hanoi,47,16,63,Fall,146,160,144,-16
South Coast Plaza,T Monogram Tote,Red,Jacquard,Mini,Shenzhen,45,16,61,Spring,241,289,81,-208
NorthPark Center,Britten Tote,Beige,Pebbled Leather,Large,Shenzhen,46,14,60,Spring,89,106,150,44
San Francisco Centre,Perry Tote,Metallic,Pebbled Leather,Medium,Shenzhen,32,17,49,Spring,267,320,167,-153
San Francisco Centre,Britten Tote,Red,Coated Canvas,Large,Hanoi,35,14,49,Fall,252,277,208,-69
San Francisco Centre,T Monogram Tote,Red,Coated Canvas,Small,Shenzhen,47,17,64,Summer,124,124,97,-27
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,White,Leather,Large,Ho Chi Minh City,47,14,61,Summer,155,155,147,-8
NorthPark Center,Ella Tote,Green,Pebbled Leather,Large,Hanoi,33,14,47,Spring,104,124,135,11
NorthPark Center,Britten Tote,Beige,Pebbled Leather,Large,Hanoi,44,17,61,Summer,157,157,174,17
Bal Harbour Shops,Kira Chevron Tote,Brown,Pebbled Leather,Mini,Guangzhou,31,15,46,Summer,256,256,229,-27
San Francisco Centre,Robinson Tote,Green,Leather,Large,Ho Chi Minh City,38,15,53,Spring,110,132,21,-111
Soho,Kira Chevron Tote,Purple,Pebbled Leather,Large,Da Nang,31,17,48,Winter,300,240,94,-146
El Palacio de Hierro (Santa Fe),McGraw Tote,Pink,Canvas,Mini,Ho Chi Minh City,46,15,61,Summer,191,191,64,-127
El Palacio de Hierro (Santa Fe),Britten Tote,White,Jacquard,Medium,Guangzhou,41,15,56,Spring,274,328,52,-276
Oak Street,Britten Tote,Blue,Leather,Mini,Shenzhen,47,18,65,Spring,120,144,146,2
Oak Street,Gemini Link Tote,White,Leather,Medium,Ho Chi Minh City,30,18,48,Winter,151,120,96,-24
Westfield World Trade Center,T Monogram Tote,Red,Coated Canvas,Mini,Da Nang,48,18,66,Spring,226,271,192,-79
South Coast Plaza,Britten Tote,Metallic,Jacquard,Medium,Da Nang,41,18,59,Winter,205,164,170,6
Pacific Centre,Ella Tote,Metallic,Leather,Mini,Shenzhen,39,15,54,Winter,263,210,210,0
Yorkdale Shopping Centre,McGraw Tote,White,Leather,Medium,Shenzhen,40,16,56,Fall,70,77,5,-72
Madison Avenue,McGraw Tote,Black,Canvas,Small,Ho Chi Minh City,31,16,47,Fall,240,264,104,-160
Westfield World Trade Center,Robinson Tote,Yellow,Canvas,Medium,Hanoi,39,16,55,Spring,72,86,104,18
Aventura Mall,Robinson Tote,Metallic,Jacquard,Large,Guangzhou,50,16,66,Winter,234,187,53,-134
Oak Street,McGraw Tote,Pink,Jacquard,Large,Da Nang,30,16,46,Spring,237,284,224,-60
NorthPark Center,Robinson Tote,Red,Pebbled Leather,Small,Guangzhou,35,15,50,Summer,80,80,29,-51
Yorkdale Shopping Centre,Kira Chevron Tote,Yellow,Canvas,Large,Da Nang,44,14,58,Spring,214,256,143,-113
Yorkdale Shopping Centre,Gemini Link Tote,Gray,Canvas,Large,Da Nang,34,17,51,Winter,132,105,112,7
NorthPark Center,Gemini Link Tote,Gray,Pebbled Leather,Medium,Shenzhen,45,15,60,Winter,256,204,63,-141
Soho,Britten Tote,Red,Canvas,Small,Ho Chi Minh City,30,16,46,Spring,236,283,30,-253
Yorkdale Shopping Centre,Ella Tote,Brown,Canvas,Small,Ho Chi Minh City,41,15,56,Fall,152,167,77,-90
Westfield World Trade Center,Gemini Link Tote,Multi,Pebbled Leather,Medium,Shenzhen,34,14,48,Winter,222,177,171,-6
San Francisco Centre,Robinson Tote,Metallic,Leather,Medium,Shenzhen,41,17,58,Winter,296,236,43,-193
Madison Avenue,Robinson Tote,Yellow,Coated Canvas,Small,Guangzhou,46,14,60,Summer,167,167,148,-19
Soho,T Monogram Tote,Brown,Jacquard,Medium,Guangzhou,45,14,59,Summer,204,204,87,-117
The Galleria,Perry Tote,White,Jacquard,Medium,Guangzhou,43,16,59,Fall,100,110,103,-7
Bal Harbour Shops,Gemini Link Tote,Gray,Coated Canvas,Medium,Shenzhen,50,17,67,Summer,50,50,42,-8
El Palacio de Hierro (Polanco),Ella Tote,Blue,Jacquard,Large,Guangzhou,45,15,60,Winter,250,200,134,-66
San Francisco Centre,Britten Tote,Brown,Pebbled Leather,Large,Ho Chi Minh City,44,14,58,Winter,247,197,3,-194
Pacific Centre,Ella Tote,Purple,Canvas,Mini,Da Nang,37,17,54,Winter,99,79,82,3
San Francisco Centre,Gemini Link Tote,Black,Coated Canvas,Small,Guangzhou,31,15,46,Winter,58,46,5,-41
The Galleria,T Monogram Tote,Pink,Coated Canvas,Small,Da Nang,45,16,61,Summer,55,55,36,-19
Aventura Mall,Robinson Tote,Black,Canvas,Mini,Shenzhen,32,16,48,Winter,158,126,23,-103
Soho,Perry Tote,Multi,Pebbled Leather,Medium,Ho Chi Minh City,42,15,57,Winter,223,178,45,-133
Aventura Mall,McGraw Tote,Purple,Jacquard,Medium,Ho Chi Minh City,33,17,50,Summer,76,76,96,20
Yorkdale Shopping Centre,McGraw Tote,Multi,Canvas,Medium,Hanoi,43,15,58,Spring,154,184,83,-101
Westfield World Trade Center,Kira Chevron Tote,Pink,Canvas,Mini,Ho Chi Minh City,44,18,62,Summer,190,190,170,-20
The Galleria,Gemini Link Tote,Multi,Jacquard,Small,Guangzhou,34,16,50,Winter,247,197,60,-137
Bal Harbour Shops,Perry Tote,White,Jacquard,Medium,Hanoi,31,18,49,Spring,298,357,148,-209
Yorkdale Shopping Centre,Britten Tote,Pink,Pebbled Leather,Medium,Da Nang,35,18,53,Summer,249,249,108,-141
Westfield World Trade Center,Britten Tote,Yellow,Canvas,Small,Shenzhen,43,18,61,Spring,92,110,104,-6
Pacific Centre,Britten Tote,Brown,Leather,Small,Da Nang,38,18,56,Fall,68,74,107,33
El Palacio de Hierro (Polanco),Gemini Link Tote,Multi,Jacquard,Medium,Hanoi,41,14,55,Summer,216,216,233,17
Westfield World Trade Center,Perry Tote,Yellow,Pebbled Leather,Small,Hanoi,42,16,58,Spring,176,211,233,22
Pacific Centre,Perry Tote,Brown,Canvas,Small,Guangzhou,36,16,52,Summer,258,258,213,-45
Aventura Mall,T Monogram Tote,Purple,Pebbled Leather,Large,Shenzhen,32,15,47,Winter,208,166,82,-84
Soho,Britten Tote,White,Pebbled Leather,Medium,Guangzhou,45,15,60,Winter,140,112,131,19
Pacific Centre,McGraw Tote,White,Canvas,Large,Da Nang,45,18,63,Spring,125,150,109,-41
The Galleria,McGraw Tote,Metallic,Jacquard,Small,Hanoi,30,16,46,Summer,145,145,182,37
Oak Street,Gemini Link Tote,Green,Leather,Large,Shenzhen,36,17,53,Summer,272,272,269,-3
El Palacio de Hierro (Polanco),Ella Tote,Blue,Leather,Mini,Shenzhen,35,18,53,Spring,175,210,156,-54
The Galleria,Kira Chevron Tote,Beige,Pebbled Leather,Mini,Hanoi,43,18,61,Winter,126,100,32,-68
Bal Harbour Shops,Ella Tote,Yellow,Coated Canvas,Medium,Ho Chi Minh City,39,16,55,Spring,122,146,161,15
Aventura Mall,Britten Tote,Beige,Jacquard,Large,Guangzhou,43,17,60,Fall,300,330,133,-197
El Palacio de Hierro (Santa Fe),McGraw Tote,Blue,Coated Canvas,Mini,Shenzhen,35,14,49,Summer,161,161,27,-134
Madison Avenue,Ella Tote,White,Coated Canvas,Mini,Ho Chi Minh City,41,18,59,Winter,112,89,7,-82
The Galleria,Ella Tote,Yellow,Canvas,Mini,Da Nang,49,16,65,Winter,157,125,96,-29
Pacific Centre,Perry Tote,Black,Leather,Mini,Shenzhen,31,16,47,Winter,242,193,206,13
Bal Harbour Shops,Britten Tote,Metallic,Pebbled Leather,Small,Hanoi,48,18,66,Winter,200,160,14,-146
San Francisco Centre,Britten Tote,Purple,Leather,Small,Ho Chi Minh City,35,15,50,Summer,223,223,22,-201
El Palacio de Hierro (Polanco),Ella Tote,Multi,Canvas,Small,Ho Chi Minh City,33,18,51,Spring,284,340,259,-81
Pacific Centre,T Monogram Tote,Beige,Jacquard,Mini,Guangzhou,30,14,44,Winter,106,84,106,22
Madison Avenue,Robinson Tote,Yellow,Pebbled Leather,Mini,Hanoi,39,15,54,Winter,163,130,63,-67
The Galleria,T Monogram Tote,Beige,Leather,Mini,Shenzhen,41,15,56,Fall,75,82,87,5
El Palacio de Hierro (Polanco),McGraw Tote,Green,Pebbled Leather,Large,Hanoi,36,15,51,Summer,205,205,167,-38
El Palacio de Hierro (Santa Fe),Ella Tote,Multi,Coated Canvas,Medium,Hanoi,48,14,62,Spring,282,338,287,-51
South Coast Plaza,Ella Tote,Brown,Jacquard,Large,Hanoi,44,14,58,Fall,188,206,186,-20
Pacific Centre,Kira Chevron Tote,Gray,Jacquard,Large,Hanoi,38,15,53,Summer,70,70,71,1
Aventura Mall,Perry Tote,Pink,Pebbled Leather,Small,Hanoi,44,14,58,Summer,152,152,148,-4
The Galleria,Britten Tote,Beige,Coated Canvas,Mini,Ho Chi Minh City,33,18,51,Fall,146,160,11,-149
Madison Avenue,Kira Chevron Tote,Blue,Pebbled Leather,Mini,Ho Chi Minh City,33,14,47,Spring,293,351,47,-304
Aventura Mall,Perry Tote,Gray,Canvas,Mini,Ho Chi Minh City,35,15,50,Summer,266,266,262,-4
Oak Street,Gemini Link Tote,Brown,Pebbled Leather,Large,Da Nang,37,16,53,Spring,92,110,9,-101
