Record_ID,Date,Store,Dress_Category,Price,Historical_Demand,Inventory_On_Hand,Lead_Time_Days,Forecast_Demand,Overfill_Underfill_Flag
59,2025-03-31,New York,Black Short Dress,381.01,13,25,13,13,Overfill
60,2025-04-01,New York,Black Short Dress,351.13,15,59,13,15,Overfill
61,2025-04-02,New York,Black Short Dress,302.76,17,86,6,14,Overfill
62,2025-04-03,New York,Black Short Dress,367.2,19,86,7,18,Overfill
63,2025-04-04,New York,Black Short Dress,386.04,11,57,5,8,Overfill
64,2025-04-05,New York,Black Short Dress,330.33,21,69,9,21,Overfill
65,2025-04-06,New York,Black Short Dress,345.73,16,4,10,13,Balanced
66,2025-04-07,New York,Black Short Dress,354.06,23,93,11,19,Overfill
67,2025-04-08,New York,Black Short Dress,307.85,13,57,9,11,Overfill
68,2025-04-09,New York,Black Short Dress,383.6,10,61,13,10,Overfill
69,2025-04-10,New York,Black Short Dress,318.29,12,47,9,12,Overfill
70,2025-04-11,New York,Black Short Dress,373.79,18,60,9,18,Overfill
71,2025-04-12,New York,Black Short Dress,315.86,12,15,10,9,Balanced
72,2025-04-13,New York,Black Short Dress,309.18,17,77,5,15,Overfill
73,2025-04-14,New York,Black Short Dress,364.98,17,93,14,17,Overfill
74,2025-04-15,New York,Black Short Dress,388.67,25,68,8,23,Overfill
75,2025-04-16,New York,Black Short Dress,353.94,20,0,8,20,Underfill
76,2025-04-17,New York,Black Short Dress,364.24,31,79,5,35,Overfill
77,2025-04-18,New York,Black Short Dress,338.82,25,11,5,24,Underfill
78,2025-04-19,New York,Black Short Dress,382.06,22,50,7,24,Overfill
79,2025-04-20,New York,Black Short Dress,306.94,14,28,6,11,Overfill
80,2025-04-21,New York,Black Short Dress,333.66,22,34,14,20,Overfill
81,2025-04-22,New York,Black Short Dress,369.29,17,67,6,17,Overfill
82,2025-04-23,New York,Black Short Dress,303.92,24,28,13,26,Balanced
83,2025-04-24,New York,Black Short Dress,356.85,15,72,7,17,Overfill
84,2025-04-25,New York,Black Short Dress,337.2,17,35,11,17,Overfill
85,2025-04-26,New York,Black Short Dress,342.9,20,11,11,22,Underfill
86,2025-04-27,New York,Black Short Dress,390.26,25,29,8,28,Balanced
87,2025-04-28,New York,Black Short Dress,305.35,23,48,13,26,Overfill
88,2025-04-29,New York,Black Short Dress,331.93,18,8,8,18,Balanced
89,2025-04-30,New York,Black Short Dress,360.24,15,98,8,16,Overfill
90,2025-05-01,New York,Black Short Dress,394.62,30,99,13,25,Overfill
91,2025-02-01,Los Angeles,Casual Day Dress,217.56,15,74,13,16,Overfill
92,2025-02-02,Los Angeles,Casual Day Dress,215.17,20,16,11,19,Balanced
93,2025-02-03,Los Angeles,Casual Day Dress,305.94,13,26,9,13,Overfill
94,2025-02-04,Los Angeles,Casual Day Dress,348.0,10,37,5,11,Overfill
95,2025-02-05,Los Angeles,Casual Day Dress,313.01,15,44,10,16,Overfill
96,2025-02-06,Los Angeles,Casual Day Dress,316.57,14,18,10,15,Balanced
97,2025-02-07,Los Angeles,Casual Day Dress,238.05,12,66,6,11,Overfill
98,2025-02-08,Los Angeles,Casual Day Dress,311.15,11,57,12,9,Overfill
99,2025-02-09,Los Angeles,Casual Day Dress,235.63,18,76,13,17,Overfill
100,2025-02-10,Los Angeles,Casual Day Dress,330.29,17,24,10,16,Balanced
101,2025-02-11,Los Angeles,Casual Day Dress,279.16,9,79,9,8,Overfill
102,2025-02-12,Los Angeles,Casual Day Dress,345.4,16,18,6,13,Balanced
103,2025-02-13,Los Angeles,Casual Day Dress,294.13,12,0,10,11,Underfill
104,2025-02-14,Los Angeles,Casual Day Dress,206.82,12,86,14,14,Overfill
105,2025-02-15,Los Angeles,Casual Day Dress,250.35,14,27,14,12,Overfill
106,2025-02-16,Los Angeles,Casual Day Dress,258.24,17,89,6,15,Overfill
107,2025-02-17,Los Angeles,Casual Day Dress,304.72,11,26,5,10,Overfill
108,2025-02-18,Los Angeles,Casual Day Dress,290.42,12,83,7,13,Overfill
109,2025-02-19,Los Angeles,Casual Day Dress,331.5,11,55,9,8,Overfill
110,2025-02-20,Los Angeles,Casual Day Dress,316.64,20,32,6,23,Balanced
111,2025-02-21,Los Angeles,Casual Day Dress,258.95,15,62,5,17,Overfill
112,2025-02-22,Los Angeles,Casual Day Dress,205.52,11,97,5,8,Overfill
113,2025-02-23,Los Angeles,Casual Day Dress,349.96,15,68,10,17,Overfill
114,2025-02-24,Los Angeles,Casual Day Dress,315.35,13,22,9,14,Balanced
115,2025-02-25,Los Angeles,Casual Day Dress,219.37,10,72,7,9,Overfill
116,2025-02-26,Los Angeles,Casual Day Dress,234.3,13,3,5,14,Underfill
117,2025-02-27,Los Angeles,Casual Day Dress,315.85,14,53,6,15,Overfill
118,2025-02-28,Los Angeles,Casual Day Dress,345.2,13,53,13,13,Overfill
119,2025-03-01,Los Angeles,Casual Day Dress,295.9,7,84,7,8,Overfill
120,2025-03-02,Los Angeles,Casual Day Dress,202.18,13,63,10,13,Overfill
121,2025-03-03,Los Angeles,Casual Day Dress,335.62,17,50,8,17,Overfill
122,2025-03-04,Los Angeles,Casual Day Dress,317.55,21,96,11,21,Overfill
123,2025-03-05,Los Angeles,Casual Day Dress,338.99,17,9,14,18,Balanced
124,2025-03-06,Los Angeles,Casual Day Dress,268.87,16,83,6,16,Overfill
125,2025-03-07,Los Angeles,Casual Day Dress,236.02,11,42,7,11,Overfill
126,2025-03-08,Los Angeles,Casual Day Dress,219.21,13,22,10,14,Balanced
127,2025-03-09,Los Angeles,Casual Day Dress,334.52,16,24,7,16,Balanced
128,2025-03-10,Los Angeles,Casual Day Dress,225.85,12,31,14,10,Overfill
129,2025-03-11,Los Angeles,Casual Day Dress,226.55,13,41,9,13,Overfill
130,2025-03-12,Los Angeles,Casual Day Dress,269.12,18,4,14,20,Underfill
131,2025-03-13,Los Angeles,Casual Day Dress,205.9,13,26,13,12,Overfill
132,2025-03-14,Los Angeles,Casual Day Dress,212.26,12,85,5,10,Overfill
133,2025-03-15,Los Angeles,Casual Day Dress,231.4,16,51,12,15,Overfill
134,2025-03-16,Los Angeles,Casual Day Dress,313.99,17,89,12,18,Overfill
135,2025-03-17,Los Angeles,Casual Day Dress,276.75,16,22,6,15,Balanced
136,2025-03-18,Los Angeles,Casual Day Dress,259.57,12,98,13,13,Overfill
137,2025-03-19,Los Angeles,Casual Day Dress,231.72,15,16,14,15,Balanced
138,2025-03-20,Los Angeles,Casual Day Dress,333.58,11,24,8,10,Overfill
139,2025-03-21,Los Angeles,Casual Day Dress,213.04,19,17,10,19,Balanced
140,2025-03-22,Los Angeles,Casual Day Dress,287.98,11,7,7,10,Balanced
141,2025-03-23,Los Angeles,Casual Day Dress,285.62,17,63,12,16,Overfill
142,2025-03-24,Los Angeles,Casual Day Dress,290.87,14,69,5,11,Overfill
143,2025-03-25,Los Angeles,Casual Day Dress,327.62,13,3,12,15,Underfill
144,2025-03-26,Los Angeles,Casual Day Dress,278.68,11,2,12,11,Balanced
145,2025-03-27,Los Angeles,Casual Day Dress,322.56,17,78,5,16,Overfill
146,2025-03-28,Los Angeles,Casual Day Dress,323.13,15,50,6,15,Overfill
147,2025-03-29,Los Angeles,Casual Day Dress,230.76,9,43,14,8,Overfill
148,2025-03-30,Los Angeles,Casual Day Dress,229.93,16,18,8,14,Balanced
149,2025-03-31,Los Angeles,Casual Day Dress,213.09,15,63,8,13,Overfill
150,2025-04-01,Los Angeles,Casual Day Dress,207.77,12,2,6,11,Balanced
151,2025-04-02,Los Angeles,Casual Day Dress,248.35,20,1,6,16,Underfill
152,2025-04-03,Los Angeles,Casual Day Dress,302.23,20,62,5,16,Overfill
153,2025-04-04,Los Angeles,Casual Day Dress,252.33,22,34,5,25,Balanced
154,2025-04-05,Los Angeles,Casual Day Dress,344.75,13,59,9,14,Overfill
155,2025-04-06,Los Angeles,Casual Day Dress,207.21,15,21,12,16,Balanced
156,2025-04-07,Los Angeles,Casual Day Dress,319.93,14,13,7,12,Balanced
157,2025-04-08,Los Angeles,Casual Day Dress,336.18,16,25,13,18,Balanced
158,2025-04-09,Los Angeles,Casual Day Dress,302.45,18,88,12,17,Overfill
159,2025-04-10,Los Angeles,Casual Day Dress,280.97,12,37,5,10,Overfill
160,2025-04-11,Los Angeles,Casual Day Dress,258.72,8,96,6,8,Overfill
161,2025-04-12,Los Angeles,Casual Day Dress,264.73,15,50,7,15,Overfill
162,2025-04-13,Los Angeles,Casual Day Dress,304.06,17,71,8,18,Overfill
163,2025-04-14,Los Angeles,Casual Day Dress,318.29,16,26,10,17,Balanced
164,2025-04-15,Los Angeles,Casual Day Dress,311.59,21,26,8,21,Balanced
165,2025-04-16,Los Angeles,Casual Day Dress,215.44,16,96,8,15,Overfill
166,2025-04-17,Los Angeles,Casual Day Dress,259.59,16,51,12,13,Overfill
167,2025-04-18,Los Angeles,Casual Day Dress,201.83,17,1,7,18,Underfill
168,2025-04-19,Los Angeles,Casual Day Dress,307.43,12,35,9,13,Overfill
169,2025-04-20,Los Angeles,Casual Day Dress,260.13,14,5,14,16,Underfill
170,2025-04-21,Los Angeles,Casual Day Dress,336.78,15,11,12,15,Balanced
171,2025-04-22,Los Angeles,Casual Day Dress,288.94,14,59,8,16,Overfill
172,2025-04-23,Los Angeles,Casual Day Dress,338.37,15,4,12,15,Underfill
173,2025-04-24,Los Angeles,Casual Day Dress,263.62,13,8,12,14,Balanced
174,2025-04-25,Los Angeles,Casual Day Dress,267.63,18,10,9,21,Underfill
175,2025-04-26,Los Angeles,Casual Day Dress,256.9,22,20,9,20,Balanced
176,2025-04-27,Los Angeles,Casual Day Dress,318.17,16,51,14,14,Overfill
177,2025-04-28,Los Angeles,Casual Day Dress,338.44,17,74,11,15,Overfill
178,2025-04-29,Los Angeles,Casual Day Dress,337.77,8,33,7,7,Overfill
179,2025-04-30,Los Angeles,Casual Day Dress,246.72,11,87,10,9,Overfill
180,2025-05-01,Los Angeles,Casual Day Dress,277.28,15,84,5,17,Overfill
